.NET (Core) 5
File read & write test with 28,61 MB done in 02:24:22:825!




|Write (0,017 MB on average))|None|%|SequentialScan|%|WriteThrough|%|SequentialScan, WriteThrough|%|-1610612736|%|-1476395008|%|
|Buffer 16384 Chunk 16384 (1832 times)|00:0196396|-87.03|00:0217114|-85.66|02:1445940|1316.11|02:4340517|1507.25|-|-|-|-|
|Buffer 16384 Chunk 32768 (916 times)|00:0166910|-88.98|00:0152096|-89.96|01:5762185|940.81|01:7502647|1055.73|-|-|-|-|
|Buffer 16384 Chunk 65536 (458 times)|00:0163397|-89.21|00:0152797|-89.91|01:0209995|574.18|01:2787092|744.35|-|-|-|-|
|Buffer 16384 Chunk 131072 (229 times)|00:0134885|-91.09|00:0151066|-90.02|00:7372593|386.83|00:9441811|523.46|-|-|-|-|
|Buffer 16384 Chunk 262144 (115 times)|00:0141052|-90.69|00:0134531|-91.12|00:5390320|255.93|00:7605382|402.2|-|-|-|-|
|Buffer 32768 Chunk 1024 (29297 times)|00:0169978|-88.78|00:0165981|-89.04|01:4595723|863.78|01:7035008|1024.85|-|-|-|-|
|Buffer 32768 Chunk 2048 (14649 times)|00:0165487|-89.07|00:0171180|-88.7|01:5587251|929.25|01:8606277|1128.61|-|-|-|-|
|Buffer 32768 Chunk 4096 (7325 times)|00:0174165|-88.5|00:0186017|-87.72|01:6870918|1014.02|01:7999187|1088.52|-|-|-|-|
|Buffer 32768 Chunk 8192 (3663 times)|00:0159793|-89.45|00:0161625|-89.33|01:6541878|992.29|01:9146464|1164.28|-|-|-|-|
|Buffer 32768 Chunk 16384 (1832 times)|00:0165406|-89.08|00:0178295|-88.23|01:7263089|1039.91|01:8659355|1132.11|-|-|-|-|
|Buffer 32768 Chunk 32768 (916 times)|00:0164121|-89.16|00:0188137|-87.58|01:8105558|1095.54|01:7924125|1083.56|-|-|-|-|
|Buffer 32768 Chunk 65536 (458 times)|00:0151600|-89.99|00:0148334|-90.21|00:9078771|499.49|01:3944954|820.81|-|-|-|-|
|Buffer 32768 Chunk 131072 (229 times)|00:0131391|-91.32|00:0137663|-90.91|00:8120218|436.19|00:9415456|521.72|-|-|-|-|
|Buffer 32768 Chunk 262144 (115 times)|00:0130781|-91.36|00:0125872|-91.69|00:5171118|241.46|00:6467550|327.06|-|-|-|-|
|Buffer 65536 Chunk 1024 (29297 times)|00:0193700|-87.21|00:0150264|-90.08|01:1884838|684.78|01:4659465|867.99|-|-|-|-|
|Buffer 65536 Chunk 2048 (14649 times)|00:0155685|-89.72|00:0154963|-89.77|01:0512808|594.18|01:3122283|766.49|-|-|-|-|
|Buffer 65536 Chunk 4096 (7325 times)|00:0156481|-89.67|00:0161715|-89.32|01:2698152|738.48|01:4226705|839.41|-|-|-|-|
|Buffer 65536 Chunk 8192 (3663 times)|00:0152717|-89.92|00:0155711|-89.72|01:3662655|802.17|01:3621543|799.45|-|-|-|-|
|Buffer 65536 Chunk 16384 (1832 times)|00:0150206|-90.08|00:0148471|-90.2|01:3001085|758.48|01:3861295|815.29|-|-|-|-|
|Buffer 65536 Chunk 32768 (916 times)|00:0148512|-90.19|00:0165237|-89.09|01:3390353|784.19|01:3251099|774.99|-|-|-|-|
|Buffer 65536 Chunk 65536 (458 times)|00:0149969|-90.1|00:0148516|-90.19|01:1521017|660.75|01:3986628|823.56|-|-|-|-|
|Buffer 65536 Chunk 131072 (229 times)|00:0153555|-89.86|00:0143054|-90.55|00:8267747|445.93|00:9619433|535.19|-|-|-|-|
|Buffer 65536 Chunk 262144 (115 times)|00:0149040|-90.16|00:0134734|-91.1|00:6479515|327.85|00:6871413|353.73|-|-|-|-|
|Buffer 131072 Chunk 1024 (29297 times)|00:0164371|-89.15|00:0160211|-89.42|00:9532297|529.43|01:0255431|577.18|-|-|-|-|
|Buffer 131072 Chunk 2048 (14649 times)|00:0146263|-90.34|00:0148010|-90.23|00:8818106|482.28|00:9742910|543.34|-|-|-|-|
|Buffer 131072 Chunk 4096 (7325 times)|00:0147228|-90.28|00:0148062|-90.22|00:9272262|512.26|01:0606715|600.38|-|-|-|-|
|Buffer 131072 Chunk 8192 (3663 times)|00:0155492|-89.73|00:0169380|-88.82|00:8184413|440.43|01:0211753|574.3|-|-|-|-|
|Buffer 131072 Chunk 16384 (1832 times)|00:0166354|-89.02|00:0156191|-89.69|00:9735832|542.87|01:1130862|634.99|-|-|-|-|
|Buffer 131072 Chunk 32768 (916 times)|00:0148635|-90.19|00:0150264|-90.08|01:0086448|566.03|00:9837592|549.59|-|-|-|-|
|Buffer 131072 Chunk 65536 (458 times)|00:0154080|-89.83|00:0141901|-90.63|00:9318461|515.31|01:0546992|596.44|-|-|-|-|
|Buffer 131072 Chunk 131072 (229 times)|00:0143878|-90.5|00:0140439|-90.73|00:6428700|324.5|00:9335613|516.45|-|-|-|-|
|Buffer 131072 Chunk 262144 (115 times)|00:0144179|-90.48|00:0135722|-91.04|00:5427167|258.37|00:6179280|308.03|-|-|-|-|
|Buffer 262144 Chunk 1024 (29297 times)|00:0144614|-90.45|00:0149151|-90.15|00:6547573|332.35|00:7831124|417.1|-|-|-|-|
|Buffer 262144 Chunk 2048 (14649 times)|00:0148730|-90.18|00:0142667|-90.58|00:6041312|298.92|00:8258561|445.33|-|-|-|-|
|Buffer 262144 Chunk 4096 (7325 times)|00:0156928|-89.64|00:0146034|-90.36|00:8117411|436.01|00:7994494|427.89|-|-|-|-|
|Buffer 262144 Chunk 8192 (3663 times)|00:0154931|-89.77|00:0148726|-90.18|00:6490103|328.55|00:7846091|418.09|-|-|-|-|
|Buffer 262144 Chunk 16384 (1832 times)|00:0155384|-89.74|00:0148613|-90.19|00:6236158|311.78|00:8038103|430.77|-|-|-|-|
|Buffer 262144 Chunk 32768 (916 times)|00:0146781|-90.31|00:0139290|-90.8|00:6270921|314.08|00:7694376|408.07|-|-|-|-|
|Buffer 262144 Chunk 65536 (458 times)|00:0141360|-90.67|00:0145090|-90.42|00:8079164|433.48|00:8371402|452.78|-|-|-|-|
|Buffer 262144 Chunk 131072 (229 times)|00:0139241|-90.81|00:0145304|-90.41|00:5453356|260.09|00:7686374|407.55|-|-|-|-|
|Buffer 262144 Chunk 262144 (115 times)|00:0139862|-90.76|00:0127124|-91.61|00:5322563|251.46|00:6952255|359.07|-|-|-|-|



|Read (-0 MB on average))|None|%|SequentialScan|%|WriteThrough|%|SequentialScan, WriteThrough|%|-1610612736|%|-1476395008|%|
|----|----|----|----|----|----|----|----|----|----|----|----|----|
|Buffer 1024 Chunk 1024 (29297 times)|00:0704307|0|00:0653704|-7.18|00:0593084|-15.79|00:0715753|1.63|07:5282130|10588.82|07:4692495|10505.1|
|Buffer 1024 Chunk 2048 (14649 times)|00:0355848|-49.48|00:0358228|-49.14|00:0342497|-51.37|00:0346957|-50.74|06:3115287|8861.33|06:4190807|9014.04|
|Buffer 1024 Chunk 4096 (7325 times)|00:0225897|-67.93|00:0233551|-66.84|00:0219326|-68.86|00:0222864|-68.36|05:5801213|7822.85|05:5726691|7812.27|
|Buffer 1024 Chunk 8192 (3663 times)|00:0155021|-77.99|00:0172529|-75.5|00:0169405|-75.95|00:0154623|-78.05|03:3836358|4704.21|03:3354257|4635.76|
|Buffer 1024 Chunk 16384 (1832 times)|00:0134172|-80.95|00:0132024|-81.25|00:0113944|-83.82|00:0120705|-82.86|02:0131173|2758.3|01:9464607|2663.65|
|Buffer 1024 Chunk 32768 (916 times)|00:0103178|-85.35|00:0105167|-85.07|00:0095701|-86.41|00:0100359|-85.75|01:1148982|1482.97|01:1334715|1509.34|
|Buffer 1024 Chunk 65536 (458 times)|00:0147035|-79.12|00:0117143|-83.37|00:0089518|-87.29|00:0088549|-87.43|00:7278489|933.43|00:7648683|985.99|
|Buffer 1024 Chunk 131072 (229 times)|00:0100768|-85.69|00:0099902|-85.82|00:0089705|-87.26|00:0089072|-87.35|00:5611550|696.75|00:5111573|625.76|
|Buffer 1024 Chunk 262144 (115 times)|00:0096318|-86.32|00:0097683|-86.13|00:0087911|-87.52|00:0087258|-87.61|00:4863008|590.47|00:4426397|528.48|
|Buffer 2048 Chunk 1024 (29297 times)|00:0455449|-35.33|00:0387238|-45.02|00:0368556|-47.67|00:0446032|-36.67|06:3135366|8864.18|06:3299485|8887.48|
|Buffer 2048 Chunk 2048 (14649 times)|00:0361112|-48.73|00:0359605|-48.94|00:0345965|-50.88|00:0382048|-45.76|06:0485822|8487.99|06:2596924|8787.73|
|Buffer 2048 Chunk 4096 (7325 times)|00:0227240|-67.74|00:0226297|-67.87|00:0223882|-68.21|00:0222508|-68.41|05:5726579|7812.26|04:7336691|6621.03|
|Buffer 2048 Chunk 8192 (3663 times)|00:0155586|-77.91|00:0159242|-77.39|00:0150144|-78.68|00:0148915|-78.86|03:5354424|4919.75|03:5836055|4988.13|
|Buffer 2048 Chunk 16384 (1832 times)|00:0127249|-81.93|00:0123487|-82.47|00:0114421|-83.75|00:0115594|-83.59|01:9556870|2676.75|01:8779189|2566.34|
|Buffer 2048 Chunk 32768 (916 times)|00:0104123|-85.22|00:0104117|-85.22|00:0096360|-86.32|00:0100326|-85.76|01:2408127|1661.75|01:2074991|1614.45|
|Buffer 2048 Chunk 65536 (458 times)|00:0103582|-85.29|00:0100660|-85.71|00:0089153|-87.34|00:0090351|-87.17|00:7611726|980.74|00:7111492|909.71|
|Buffer 2048 Chunk 131072 (229 times)|00:0113434|-83.89|00:0115292|-83.63|00:0101526|-85.58|00:0088656|-87.41|00:5055920|617.86|00:5870848|733.56|
|Buffer 2048 Chunk 262144 (115 times)|00:0099750|-85.84|00:0107546|-84.73|00:0088184|-87.48|00:0083699|-88.12|00:4521327|541.95|00:4518863|541.6|
|Buffer 4096 Chunk 1024 (29297 times)|00:0344122|-51.14|00:0244662|-65.26|00:0252821|-64.1|00:0238980|-66.07|04:9170504|6881.4|04:9335659|6904.85|
|Buffer 4096 Chunk 2048 (14649 times)|00:0287840|-59.13|00:0244919|-65.23|00:0238380|-66.15|00:0236351|-66.44|05:1393674|7197.06|04:7725973|6676.3|
|Buffer 4096 Chunk 4096 (7325 times)|00:0245131|-65.2|00:0299797|-57.43|00:0231071|-67.19|00:0225927|-67.92|05:2318983|7328.43|05:6150920|7872.51|
|Buffer 4096 Chunk 8192 (3663 times)|00:0173819|-75.32|00:0163108|-76.84|00:0149152|-78.82|00:0151800|-78.45|04:9078152|6868.29|03:5040068|4875.11|
|Buffer 4096 Chunk 16384 (1832 times)|00:0134912|-80.84|00:0123481|-82.47|00:0119291|-83.06|00:0117837|-83.27|01:9242301|2632.09|01:9297816|2639.97|
|Buffer 4096 Chunk 32768 (916 times)|00:0109051|-84.52|00:0109070|-84.51|00:0095405|-86.45|00:0096089|-86.36|01:1847553|1582.16|01:1913882|1591.58|
|Buffer 4096 Chunk 65536 (458 times)|00:0102858|-85.4|00:0103878|-85.25|00:0088998|-87.36|00:0088221|-87.47|00:7222990|925.55|00:7333932|941.3|
|Buffer 4096 Chunk 131072 (229 times)|00:0100475|-85.73|00:0099673|-85.85|00:0088712|-87.4|00:0089889|-87.24|00:5442088|672.69|00:5352823|660.01|
|Buffer 4096 Chunk 262144 (115 times)|00:0100251|-85.77|00:0100187|-85.78|00:0099251|-85.91|00:0088773|-87.4|00:4229271|500.49|00:4444785|531.09|
|Buffer 8192 Chunk 1024 (29297 times)|00:0294515|-58.18|00:0171936|-75.59|00:0167748|-76.18|00:0166567|-76.35|03:5854571|4990.76|03:5631694|4959.11|
|Buffer 8192 Chunk 2048 (14649 times)|00:0175466|-75.09|00:0173710|-75.34|00:0165778|-76.46|00:0163612|-76.77|03:6762767|5119.71|03:7299178|5195.87|
|Buffer 8192 Chunk 4096 (7325 times)|00:0498797|-29.18|00:0172490|-75.51|00:0162936|-76.87|00:0163668|-76.76|03:7021206|5156.4|03:5336136|4917.15|
|Buffer 8192 Chunk 8192 (3663 times)|00:0175986|-75.01|00:0165345|-76.52|00:0148497|-78.92|00:0149864|-78.72|07:6692819|10789.12|03:6799723|5124.95|
|Buffer 8192 Chunk 16384 (1832 times)|00:0125865|-82.13|00:0123738|-82.43|00:0115476|-83.6|00:0114528|-83.74|02:0279441|2779.35|01:9927398|2729.36|
|Buffer 8192 Chunk 32768 (916 times)|00:0105475|-85.02|00:0103288|-85.33|00:0096059|-86.36|00:0100035|-85.8|01:2137664|1623.35|01:1741636|1567.12|
|Buffer 8192 Chunk 65536 (458 times)|00:0102511|-85.45|00:0106567|-84.87|00:0089131|-87.34|00:0092819|-86.82|00:6963568|888.71|00:7315368|938.66|
|Buffer 8192 Chunk 131072 (229 times)|00:0104081|-85.22|00:0105156|-85.07|00:0088858|-87.38|00:0089045|-87.36|00:5667064|704.63|00:5269267|648.15|
|Buffer 8192 Chunk 262144 (115 times)|00:0108853|-84.54|00:0106784|-84.84|00:0094071|-86.64|00:0100443|-85.74|00:4222712|499.56|00:4161406|490.85|
|Buffer 16384 Chunk 1024 (29297 times)|00:0598499|-15.02|00:0149065|-78.84|00:0128962|-81.69|00:0132683|-81.16|01:9612653|2684.67|01:8649959|2547.99|
|Buffer 16384 Chunk 2048 (14649 times)|00:0148307|-78.94|00:0529074|-24.88|00:0129364|-81.63|00:0129191|-81.66|01:8871786|2579.48|01:9927632|2729.4|
|Buffer 16384 Chunk 4096 (7325 times)|00:0133668|-81.02|00:0134943|-80.84|00:0127447|-81.9|00:0128314|-81.78|01:9149681|2618.94|01:9353557|2647.89|
|Buffer 16384 Chunk 8192 (3663 times)|00:0138254|-80.37|00:0132375|-81.2|00:0126233|-82.08|00:0128358|-81.78|06:2690360|8801|02:0297573|2781.92|
|Buffer 16384 Chunk 16384 (1832 times)|00:0132151|-81.24|00:0736943|4.63|00:0114761|-83.71|00:0116790|-83.42|01:9681383|2694.43|01:9556202|2676.66|
|Buffer 16384 Chunk 32768 (916 times)|00:0134122|-80.96|00:0114667|-83.72|00:0095612|-86.42|00:0094765|-86.54|01:1775078|1571.87|01:1556499|1540.83|
|Buffer 16384 Chunk 65536 (458 times)|00:0103183|-85.35|00:0099595|-85.86|00:0089234|-87.33|00:0097655|-86.13|00:7555646|972.78|00:7741278|999.13|
|Buffer 16384 Chunk 131072 (229 times)|00:0099194|-85.92|00:0100973|-85.66|00:0088815|-87.39|00:0089451|-87.3|00:5037580|615.25|00:5142332|630.13|
|Buffer 16384 Chunk 262144 (115 times)|00:0115498|-83.6|00:0256418|-63.59|00:0089646|-87.27|00:0090871|-87.1|00:4555907|546.86|00:4574484|549.5|
|Buffer 32768 Chunk 1024 (29297 times)|00:0116681|-83.43|00:0117149|-83.37|00:0110744|-84.28|00:0115673|-83.58|01:0389691|1375.17|01:1019479|1464.58|
|Buffer 32768 Chunk 2048 (14649 times)|00:0318353|-54.8|00:0116938|-83.4|00:0107150|-84.79|00:0111510|-84.17|01:1260213|1498.76|01:1315704|1506.64|
|Buffer 32768 Chunk 4096 (7325 times)|00:0113816|-83.84|00:0112473|-84.03|00:0117840|-83.27|00:0106897|-84.82|01:1223172|1493.51|01:0815432|1435.61|
|Buffer 32768 Chunk 8192 (3663 times)|00:0115038|-83.67|00:0117606|-83.3|00:0106336|-84.9|00:0107887|-84.68|04:5210544|6319.15|01:1000878|1461.94|
|Buffer 32768 Chunk 16384 (1832 times)|00:0131695|-81.3|00:0117987|-83.25|00:0110850|-84.26|00:0115814|-83.56|01:1408273|1519.79|01:1352308|1511.84|
|Buffer 32768 Chunk 32768 (916 times)|00:0109867|-84.4|00:0102713|-85.42|00:0122695|-82.58|00:0100396|-85.75|01:2055895|1611.74|01:1760401|1569.78|
|Buffer 32768 Chunk 65536 (458 times)|00:0100553|-85.72|00:0099395|-85.89|00:0088811|-87.39|00:0088392|-87.45|00:7488786|963.28|00:7371033|946.57|
